Feb	2006	Arbetets Herravaelde, by Andrew Carnegie	Andrew Carnegie	?rbhrxxx.xxx	9951
Feb	2006	Abhandlungen ueber die Fabel, by G. Lessing	G. Lessing	?abhfxxx.xxx	9950
Feb	2006	The Bark Covered House, by William Nowlin	William Nowlin	brkchxxx.xxx	9949
Feb	2006	The Banner Boy Scouts Afloat, by George A. Warren	George A. Warren	bbscaxxx.xxx	9948
Feb	2006	Queen Victoria,Anonymous	Anonymous	?qvicxxx.xxx	9947
Feb	2006	Atlantic Monthly, Vol. 10, No, 59, September, 1862	Vol. 10, No, 59, September, 1862	?10a3xxx.xxx	9946
Feb	2006	Hist. de la Revolution francaise, tm. 1, A. Thiers	tm. 1, A. Thiers	?lrf1xxx.xxx	9945
Feb	2006	The Conquest of Fear, by Basil King	Basil King	?cqfrxxx.xxx	9944
Feb	2006	Expedition/Interior Australia, Mitchell	Mitchell	?jxpdxxx.xxx	9943
Feb	2006	Ten British Mathematicians,by Alexander Macfarlane	Alexander Macfarlane	tbmmsxxx.xxx	9942
Feb	2006	Biography of a Slave, by Charles Thompson	Charles Thompson	slavexxx.xxx	9941
Feb	2006	Life in London, by Edwin Hodder	Edwin Hodder	?lflnxxx.xxx	9940
Feb	2006	Woman's Institute Library of Cookery, Vol. 5	Vol. 5	?loc5xxx.xxx	9939
Feb	2006	Woman's Institute Library of Cookery, Vol. 4	Vol. 4	?loc4xxx.xxx	9938
Feb	2006	Woman's Institute Library of Cookery, Vol. 3	Vol. 3	?loc3xxx.xxx	9937
Feb	2006	Woman's Institute Library of Cookery, Vol. 2,	Vol. 2,	?loc2xxx.xxx	9936
Feb	2006	Woman's Institute Library of Cookery, Vol. 1,	Vol. 1,	?loc1xxx.xxx	9935
Feb	2006	A Primer of Quaternions, by Arthur S. Hathaway	Arthur S. Hathaway	pqtrnxxx.xxx	9934
Feb	2006	The Theory of Invariants, by Oliver E. Glenn	Oliver E. Glenn	tvrntxxx.xxx	9933
Feb	2006	The Last Trail, by Zane Grey	Zane Grey	lsttrxxx.xxx	9932
